Rudbeckia hirta,Solidago altissima,Monarda fistulosa,Pycnanthemum tenuifolium,Pycnanthemum virginianum,Asclepias tuberosa,Desmodium canadense,Lespedeza capitata,Andropogon gerardii,Schizachyrium scoparium,Elymus trachycaulus,Elymus canadensis
0,0,0,0,0,0,0,0,89.82000000000001,0,0,0
0,6.82,54.89,0,0,3.05,0,0,46.89,0,0,0
0,0,0,0,0,0,0,0,20.29,0,0,4.17
0,0,0,0,0,0,0,0,37.7,2.9,3.9,5.15
0,29.08,0,0.19,0,0,0,0,15.65,0,0,26.25
0,87.4,0,0,0,0,0,2.38,77.04,0,0,0
0,0,0,0,0,0,0,0,19.36,2.18,0,0
0,0,0,0,0,40.175,0,0,0,0,0,0
0,0,0,0,0,41.5,0,3.49,0,0,0,0
0,0,0,0,3.02,21.7,0,0,0,0,0,0
0,0,0,0,0,0,69.37333333333333,0,0,0,0,0
0,41.25,0,0,0,0,48.7,0,0,3.54,0,28.74
0,31.32,0,0,0,0,61.31,0,0,0,0,46.74
0,0,0,0,0,0,81.42,0,0,0,4.34,0
23.68,0,0,0,0,0,44.38,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,33.47666666666667
0,0,0,0,0,0,0,0,0,0,6.48,31.75
23.81,0,0,0,0,0,0,0,0,0,0,23.79
0,0,0,0,0,0,0,0,0,3.42,0,15.74
0,0,0,0,0,0,0,0,0,0,18.903333333333332,0
0,0,73.32,0,0,0,0,0,0,0,4.62,0
0,0,0,0,0,0,0,19.740000000000002,0,0,0,0
0,0,0,0,0,0,0,6.42,0,38.91,0,0
0,0,62.11,0,0,0,0,0,0,0,0,0
0,16.23,52.36,0,0,0,0,0,0,0,0,0
0,0,0,1.33,0,0,0,0,0,0,0,0
0,0,0,0.92,20.9,0,0,0,0,0,0,0
0,0,0,0,5.023333333333333,0,0,0,0,0,0,0
52.28666666666666,0,0,0,0,0,0,0,0,0,0,0
12.95,51.69,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.46666666666667,0,0
0,88.88,0,0,0,0,0,0,0,10.305,0,0
0,88.58666666666666,0,0,0,0,0,0,0,0,0,0
