A,T,D,S,Ti
228.75,0,0,0,0
190,0,0,0,0
253.75,0,0,0,0
0,727.5,0,0,0
0,868.75,0,0,0
0,937.5,0,0,0
0,0,1377.5,0,0
0,0,1581.25,0,0
0,0,1370,0,0
0,0,0,28300,0
0,0,0,24475,0
0,0,0,24250,0
0,0,0,0,5900
0,0,0,0,6375
0,0,0,0,5375
277.5,0,1076.25,0,0
183.75,0,790,0,0
206.25,0,717.5,0,0
0,0,426.25,19475,0
0,0,627.5,12225,0
0,0,400,12050,0
87.5,0,0,12425,0
113.75,0,0,9650,0
90,0,0,11425,0
51.25,535,0,0,0
71.25,491.25,0,0,0
63.75,447.5,0,0,0
0,547.5,317.5,0,0
0,517.5,480,0,0
0,458.75,472.5,0,0
0,311.25,0,7850,0
0,362.5,0,7550,0
0,377.5,0,8375,0
0,877.5,0,0,850
0,665,0,0,700
0,771.25,0,0,775
0,0,653.75,0,1925
0,0,862.5,0,2275
0,0,748.75,0,2075
101.25,0,0,0,2875
85,0,0,0,3225
156.25,0,0,0,2400
0,0,0,10425,2025
0,0,0,9125,1500
0,0,0,8675,1925
71.25,387.5,408.75,6175,525
58.75,336.25,227.5,4900,425
56.25,372.5,203.75,4500,325
48.75,292.5,163.75,4875,550
87.5,471.25,248.75,4100,450
